id,name,translation,parent_id
31598,Abaca,Abacá,36282
31599,Abandoned children,Niños abandonados,32908
31600,Abbreviations,Abreviaturas,
31601,Ability grouping,Agrupamiento por aptitud,
31603,Abortion,Aborto,
31604,Abrasives,Abrasivos,
31605,Absenteeism,Ausentismo,
31606,Absolute poverty,Absoluta pobreza,
31607,Absorptive capacity,Capacidad de absorción,
31609,Abstracts,Resúmenes analíticos,36077
31610,Abundance,Abundancia,
31611,Academic freedom,Libertad de enseñanza,32380
31612,Acast,CCACT,
31613,Accelerated courses,Cursos intensivos,
31614,Access to culture,Acceso a la cultura,
31615,Access to education,Acceso a la educación,
31616,Access to information,Acceso a la información,
31617,Access to markets,Acceso a los mercados,
31618,Access to the sea,Acceso al mar,
31619,Accessions lists,Catálogos de adquisiciones,36077
31620,Accident insurance,Seguro contra accidentes,34532
31621,Accident investigation,Investigación de accidentes,
31623,Accidental pollution,Contaminación accidental,36627
31624,Accidents,Accidentes,
31625,Acclimatization,Aclimatación,
31626,Accountants,Contadores,35165
31627,Accounting,Contabilidad,
31628,Acct,ACCT,
31629,Acculturation,Aculturación,
31630,Accumulation rate,Tasa de acumulación,
31632,Acid rain,Lluvia ácida,36719
31633,Acids,Ácidos,
31634,Acoustic pollution,Contaminación acústica,36627
31635,Acoustics,Acústica,35103
31636,Acp,"Grupo de estados de africa, el caribe y el pacifico",34231
31638,Acquisitions,Adquisiciones,
31639,Activity analysis,Análisis de actividad,33027
31640,Actuaries,Actuarios,35633
31641,Acupuncture,Acupuntura,36711
31642,Adaptation,Adaptación,
31643,Adaptation to change,Adaptación al cambio,36025
31644,Adc,Centro de desarrollo asiático,31935
31645,Adhesives,Adhesivos,
31646,Adipa,ADIPA,
31648,Administered prices,Precios regulados,34122
31650,Administration of justice,Administración de justicia,35691
31651,Administrative aspects,Aspectos administrativos,
31652,Administrative autonomy,Autonomía administrativa,
31653,Administrative law,Derecho administrativo,35703
31654,Administrative reforms,Reformas administrativas,
31655,Admission requirements,Requisitos de ingreso,
31657,Adolescents,Adolescentes,35961
31658,Adoption,Adopción,
31659,Adult education,Educación de adultos,34536
31660,Adulthood,Edad adulta,
31661,Adults,Adultos,31687
31666,Advertising,Publicidad,34161
31669,Aerial surveys,Aereofotogrametria,34611
31672,Aerosols,Aerosoles,31777
31673,Aerospace industry,Industria aeroespacial,33879
31674,Aesthetics,Estética,35367
31675,Affluent society,Sociedad opulenta,34174
31676,Afforestation,Plantación forestal,33623
31677,Afghanistan,Afganistán,36338
31678,Afghans,Afganos,
31679,Africa,África,
31680,Africa south of sahara,África al sur del SAHARA,33243
31681,African development bank,Banco africano de desarrollo,31683
31682,African languages,Lenguas africanas,33739
31683,African organizations,Organizaciones africanas,35817
31684,Africans,Africanos,
31685,Age,Edad,
31686,Age distribution,Distribución por edad,31688
31687,Age groups,Grupos de edad,
31688,Age-sex distribution,Distribución por edad y sexo,
31689,Aged,Ancianos,31687
31690,Ageing,Envejecimiento,
31691,Ageing population,Envejecimiento de la población,
31693,Agendas,Programas,35578
31694,Agglomerates,Aglomerados,32575
31695,Aggression,Agresión,
31696,Agrarian policy,Política agraria,31731
31697,Agrarian reform,Reforma agraria,
31698,Agrarian structure,Estructura agraria,
31700,Agricultural administration,Administración agrícola,
31701,Agricultural areas,Zonas agrícolas,
31702,Agricultural aspects,Aspectos agrícolas,
31703,Agricultural banks,Bancos agrícolas,34089
31704,Agricultural censuses,Censos agropecuarios,33034
31705,Agricultural chemicals,Productos químicos agrícolas,35344
31707,Agricultural cooperatives,Cooperativas agrícolas,31715
31708,Agricultural credit,Crédito agrícola,34097
31710,Agricultural development,Desarrollo agropecuario,36084
31711,Agricultural economics,Economía agraria,
31712,Agricultural economy,Economía agrícola,35946
31713,Agricultural education,Enseñanza agrícola,36924
31714,Agricultural engineering,Ingeniería agrícola,34674
31715,Agricultural enterprises,Empresas agrícolas,34103
31716,Agricultural equipment,Equipo agrícola,35131
31717,Agricultural extension,Extensión agrícola,33370
31718,Agricultural income,Ingreso agrícola,
31720,Agricultural information,Información agrícola,36570
31721,Agricultural innovations,Innovaciones agrícolas,34112
31722,Agricultural institutes,Escuelas agrícolas,
31723,Agricultural insurance,Seguro agrícola,34532
31724,Agricultural investment,Inversiones agrícolas,34114
31725,Agricultural land,Tierra agrícola,31740
31726,Agricultural machinery,Maquinaria agrícola,31716
31727,Agricultural management,Gestión agrícola,36969
31728,Agricultural markets,Mercados agrícolas,32467
31729,Agricultural mechanization,Mecanización agrícola,
31730,Agricultural planning,Planificación agrícola,33066
31731,Agricultural policy,Política agrícola,33067
31732,Agricultural population,Población agrícola,35955
31733,Agricultural potential,Potencial agrícola,32877
31734,Agricultural prices,Precios agrícolas,32469
31735,Agricultural production,Producción agropecuaria,34872
31736,Agricultural productivity,Productividad agrícola,34125
31737,Agricultural products,Productos agropecuarios,34854
31738,Agricultural projects,Proyectos agrícolas,32878
31739,Agricultural research,Investigación agrícola,35298
31740,Agricultural resources,Recursos agrícolas,36136
31741,Agricultural sector,Sector agropecuario,35583
31743,Agricultural statistics,Estadísticas agrícolas,33080
31744,Agricultural structure,Estructura agrícola,33081
31745,Agricultural surpluses,Excedentes agrícolas,
31747,Agricultural trade,Comercio agrícola,34270
31748,Agricultural training,Capacitación agrícola,35569
31749,Agricultural wastes,Desperdicios agrícolas,34144
31750,Agricultural workers,Trabajadores agrícolas,31732
